name;email;password;description;avatar_url;center_id
Никита;nzh@g.r;$2b$12$.XPrLwQtsr2UzI6M/KiqFO6UY.aUyRULerAd.cgjAeQOLj0pljmPG;Я бэк я бэк я бэк;https://i.pinimg.com/736x/74/50/b2/7450b27aefa67d3ba126dab3023d3a4f.jpg;null
Ксюша;ksh@g.r;$2b$12$.XPrLwQtsr2UzI6M/KiqFO6UY.aUyRULerAd.cgjAeQOLj0pljmPG;Я фронт-фронт;https://s2.hostingkartinok.com/uploads/images/2013/08/9b22035204e381ee2b54d10b9251d9e1.png;null
Вася;vasya@g.r;$2b$12$.XPrLwQtsr2UzI6M/KiqFO6UY.aUyRULerAd.cgjAeQOLj0pljmPG;Всем привет! Я волонтер;https://i.pinimg.com/736x/45/76/20/45762041651b269c7375e4bc83137695.jpg;1
Таня;tanya@g.r;$2b$12$.XPrLwQtsr2UzI6M/KiqFO6UY.aUyRULerAd.cgjAeQOLj0pljmPG;Всем привет! Я волонтер;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfk_JZXZ8eWUU-8A6Ls7Qn4pcYpE16rUHy7g&s;1
Максим;maksim@g.r;$2b$12$.XPrLwQtsr2UzI6M/KiqFO6UY.aUyRULerAd.cgjAeQOLj0pljmPG;Всем привет! Я волонтер;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcj2Nr_VM4rvfLeHklb-JA_toVaDg7IFB4Nw&s;1
Васек;vasya1@g.r;$2b$12$.XPrLwQtsr2UzI6M/KiqFO6UY.aUyRULerAd.cgjAeQOLj0pljmPG;Всем привет! Я волонтер;https://i.pinimg.com/736x/45/76/20/45762041651b269c7375e4bc83137695.jpg;2
Танек;tanya1@g.r;$2b$12$.XPrLwQtsr2UzI6M/KiqFO6UY.aUyRULerAd.cgjAeQOLj0pljmPG;Всем привет! Я волонтер;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfk_JZXZ8eWUU-8A6Ls7Qn4pcYpE16rUHy7g&s;null
Максимок;maksim1@g.r;$2b$12$.XPrLwQtsr2UzI6M/KiqFO6UY.aUyRULerAd.cgjAeQOLj0pljmPG;Всем привет! Я волонтер;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcj2Nr_VM4rvfLeHklb-JA_toVaDg7IFB4Nw&s;null
Петя;petya@g.r;$2b$12$.XPrLwQtsr2UzI6M/KiqFO6UY.aUyRULerAd.cgjAeQOLj0pljmPG;Всем привет! Я волонтер;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSwB8zx8dh25EpckaIBW8BRBzHCUNfLwiuhw&s;null
Петька;petya1@g.r;$2b$12$.XPrLwQtsr2UzI6M/KiqFO6UY.aUyRULerAd.cgjAeQOLj0pljmPG;Всем привет! Я волонтер;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSwB8zx8dh25EpckaIBW8BRBzHCUNfLwiuhw&s;2
Катя;katya@g.r;$2b$12$.XPrLwQtsr2UzI6M/KiqFO6UY.aUyRULerAd.cgjAeQOLj0pljmPG;Всем привет! Я волонтер;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_uvFIqpHNQ-DZP7XNbPyYmga5Z1KOxNQfZQ&s;null
Катька;katya1@g.r;$2b$12$.XPrLwQtsr2UzI6M/KiqFO6UY.aUyRULerAd.cgjAeQOLj0pljmPG;Всем привет! Я волонтер;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_uvFIqpHNQ-DZP7XNbPyYmga5Z1KOxNQfZQ&s;3
Андрей;andrey@g.r;$2b$12$.XPrLwQtsr2UzI6M/KiqFO6UY.aUyRULerAd.cgjAeQOLj0pljmPG;Всем привет! Я волонтер;;null
Андрюха;andrey1@g.r;$2b$12$.XPrLwQtsr2UzI6M/KiqFO6UY.aUyRULerAd.cgjAeQOLj0pljmPG;Всем привет! Я волонтер;;2
